puzzle,FEN,move,rating,ratingDEV,popularity,NB plays ,themes,url,
6bh9T,4r1k1/pb3ppp/1pn5/4qNQ1/7P/P1pB4/5PP1/R5K1 b - - 1 24,c6d4 f2f4 d4e2 d3e2,2281,83,75,44,advantage master middlegame short,https://lichess.org/MReSwTwN/black#48,
6bhC8,r2q1rk1/bpp2ppn/p2p2np/3Pp3/4PP2/PP4N1/1BP1B1PK/R2Q1R2 w - - 1 19,f4e5 d8h4,844,77,86,133,mate mateIn1 middlegame oneMove,https://lichess.org/mZz2vmi0#37,
6bhDn,1r6/p6p/3kpQ2/3p4/2P5/4qP2/PPKR3P/6r1 b - - 0 29,e3e5 c4c5 d6c5 f6e5,1719,75,87,362,crushing deflection endgame short,https://lichess.org/Kse49dO5/black#58,
6bhGg,3r1rk1/1Qp2ppp/1b6/p7/P4q2/2Pn4/6PP/RN3R1K w - - 0 18,f1f4 d3f2 f4f2 d8d1 f2f1 d1f1,1662,99,72,45,backRankMate clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/rOL0f8ob#35,Italian_Game Italian_Game_Classical_Variation
6bhIx,2kr3r/1p1qn3/BQp1p3/1N1pb3/6Pp/4P2P/PPP2P2/R3K2R b KQ - 1 21,b7a6 b5a7 d7a7 b6a7,1228,80,65,114,crushing middlegame queensideAttack short,https://lichess.org/6Yf6Rj6r/black#42,
6bhPm,4R3/8/pp6/k2pPb2/3P4/1B6/PPKN1P2/6r1 w - - 2 38,c2c3 g1c1 b3c2 c1c2 c3b3 c2d2,1033,77,74,145,advantage deflection endgame long,https://lichess.org/L2OogqKf#75,
6bhTS,8/7p/6p1/5pPP/3k1K2/8/5P2/8 w - - 1 49,h5h6 d4d5 f4e3 d5c4,2664,89,74,60,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/IVCt5NNx#97,
6bhTc,3r1Rk1/pr5p/2p4B/4p2p/2q1P3/P6P/1P4P1/5R1K b - - 0 28,d8f8 f1f8,1334,159,64,47,endgame mate mateIn1 oneMove,https://lichess.org/Wqe9KAWQ/black#56,
6bhTx,r1bq4/pp1n1kpp/3b4/2p5/3P4/2P2Q2/P4PPP/R1B2RK1 b - - 1 15,f7g8 f3d5 g8h8 d5d6,1095,81,91,411,advantage fork middlegame short,https://lichess.org/K1vVtXIy/black#30,Russian_Game Russian_Game_Classical_Attack
6bhUv,2r3k1/3R1pp1/7p/8/p7/4PQ1P/q4PP1/6K1 w - - 0 30,d7a7 a2b1 g1h2 b1b8 f3f4 b8a7,1890,75,91,671,endgame,https://lichess.org/FC4K3Q3U#59,
